2015 rank,City,State,2015 estimate,2014 land area(sq mi),2014 land area(km2),latitude,longitude
122,Grand Rapids,Michigan,"195,097",44.4,115,42.9612,85.6556
123,Mobile,Alabama,"194,288",139.1,360.3,30.6684,88.1002
124,Salt Lake City,Utah,"192,672",111.1,287.8,40.7785,111.9314
125,Huntsville,Alabama,"190,582",209.1,541.4,34.7843,86.539
126,Tallahassee,Florida,"189,907",100.2,259.6,30.4551,84.2534
127,Grand Prairie,Texas,"187,809",72.1,186.8,32.6842,97.021
128,Overland Park,Kansas,"186,515",74.8,193.8,38.889,94.6906
129,Knoxville,Tennessee,"185,291",98.5,255.2,35.9709,83.9465
130,Worcester,Massachusetts,"184,815",37.4,96.8,42.2695,71.8078
131,Brownsville,Texas,"183,887",132.3,342.7,26.0183,97.4538
132,Newport News,Virginia,"182,385",68.7,178,37.076,76.5217
133,Santa Clarita,California,"182,371",52.7,136.5,34.4049,118.5047
134,Port St. Lucie,Florida,"179,413",114,295.1,27.281,80.3838
135,Providence,Rhode Island,"179,207",18.4,47.7,41.8231,71.4188
136,Fort Lauderdale,Florida,"178,590",34.8,90,26.1413,80.1439
137,Chattanooga,Tennessee,"176,588",137.2,355.2,35.0665,85.2471
138,Tempe,Arizona,"175,826",39.9,103.4,33.3884,111.9318
139,Oceanside,California,"175,691",41.2,106.8,33.2246,117.3062
140,Garden Grove,California,"175,393",17.9,46.5,33.7788,117.9605
141,Rancho Cucamonga,California,"175,236",39.9,103.2,34.1233,117.5642
142,Cape Coral,Florida,"175,229",105.7,273.7,26.6431,81.9973
143,Santa Rosa,California,"174,972",41.3,107,38.4468,122.7061
144,Vancouver,Washington,"172,860",46.5,120.3,45.6372,122.5965
145,Sioux Falls,South Dakota,"171,544",73,189,43.5383,96.732
146,Peoria,Arizona,"171,237",174.4,451.7,33.7877,112.3111
147,Ontario,California,"171,214",49.9,129.3,34.0395,117.6088
148,Jackson,Mississippi,"170,674",111,287.6,32.3158,90.2128
149,Elk Grove,California,"166,913",42.2,109.3,38.4144,121.3849
150,Springfield,Missouri,"166,810",81.7,211.7,37.1942,93.2913
151,Pembroke Pines,Florida,"166,611",33.1,85.8,26.0212,80.3404
152,Salem,Oregon,"164,549",47.9,124,44.9237,123.0231
153,Corona,California,"164,226",38.8,100.6,33.8624,117.5639
154,Eugene,Oregon,"163,460",43.7,113.2,44.0567,123.1162
155,McKinney,Texas,"162,898",62.2,161.1,33.2012,96.668
156,Fort Collins,Colorado,"161,175",54.3,140.6,40.5482,105.0648
157,Lancaster,California,"161,103",94.3,244.2,34.6936,118.1753
158,Cary,North Carolina,"159,769",54.3,140.8,35.7821,78.8141
159,Palmdale,California,"158,351",106,274.4,34.5913,118.109
160,Hayward,California,"158,289",45.3,117.4,37.6281,122.1063
161,Salinas,California,"157,380",23.2,60,36.6902,121.6337
162,Frisco,Texas,"154,407",61.8,160.1,33.151,96.8193
163,Springfield,Massachusetts,"154,341",31.9,82.5,42.1155,72.54
164,Pasadena,Texas,"153,784",42.8,110.8,29.6583,95.1505
165,Macon,Georgia,"153,515",255.1,661,32.505,83.396
166,Alexandria,Virginia,"153,511",15,38.9,38.8183,77.082
167,Pomona,California,"153,266",23,59.4,34.0586,117.7613
168,Lakewood,Colorado,"152,597",42.9,111.1,39.6989,105.1176
169,Sunnyvale,California,"151,754",22,56.9,37.3858,122.0263
170,Escondido,California,"151,451",36.8,95.3,33.1336,117.0732
171,Kansas City,Kansas,"151,306",124.8,323.3,39.1225,94.7418
